Movie Name,Year,City,State,Type
Glory ,1989,Houston                     ,TX,Drama
Rosencrantz and Guildenstern Are Dead ,1990,Rodeo                       ,CA,Comedy
Manhattan ,1979,Poughkeepsie                ,NY,Comedy
Miller's Crossing ,1990,Cincinnati                  ,OH,Crime
Dead Poets Society ,1989,North Eastham               ,MA,Drama
"Graduate, The ",1967,Sitka                       ,AK,Comedy
Touch of Evil ,1958,Carcross,Yukon Territory,Crime
"Femme Nikita, La ",Nikita,Taby,Stockholm,Action
"Bridge on the River Kwai, The ",1957,Calgary,Alberta,Adventure
8 1/2,8½,Alcobendas,Madrid,Drama
Chinatown ,1974,Chicago                     ,IL,Crime
"Day the Earth Stood Still, The ",1951,Sammamish                   ,WA,Drama
"Treasure of the Sierra Madre, The ",1948,Waiau Pa,Auckland,Action
Bad Taste ,1987,Ewa Beach                   ,HI,Comedy
Duck Soup ,1933,Statesville                 ,NC,Comedy
Better Off Dead... ,1985,Kapaa                       ,HI,Comedy
"Shining, The ",1980,Burbank                     ,CA,Horror
Stand by Me ,1986,Oegstgeest,Zuid-Holland,Adventure
M ,1931,Blackrock,Dublin,Crime
Evil Dead II ,Dead by Dawn,WalcProduct3ee,Tyrol,Action
"Great Escape, The ",1963,Foxrock,Dublin,Action
"Deer Hunter, The ",1978,Hilton Head                 ,SC,Drama
Diva ,1981,Valley Center               ,CA,Action
Groundhog Day ,1993,Swampscott                  ,MA,Comedy
Unforgiven ,1992,Edinburgh,Scotland,Drama
"Manchurian Candidate, The ",1962,San Antonio                 ,TX,Crime
Pump Up the Volume ,1990,Bristol                     ,RI,Comedy
Arsenic and Old Lace ,1944,Perth,Western Australia,Comedy
Back to the Future ,1985,Greenville                  ,TX,Adventure
Fried Green Tomatoes ,1991,Pls Vrds Est                ,CA,Comedy
Patton ,1970,Hradec Kralove,East Bohemia,Drama
Down by Law ,1986,Maidstone,England,Comedy
Akira ,1988,Saint Albans,England,Action
Highlander ,1986,Voluntari,Bucuresti,Action
Cool Hand Luke ,1967,Nadur, ,Drama
Cyrano de Bergerac ,1990,Morrison                    ,CO,Comedy
Young Frankenstein ,1974,Cobham,England,Comedy
Night on Earth ,1991,Izmir,Izmir,Comedy
Raise the Red Lantern ,Da hong deng long gao gao gua,Hollywood                   ,CA,Drama
"Great Dictator, The ",1940,Brighton,England,Comedy
Fantasia ,1940,Hawera,Taranaki,Animation
High Noon ,1952,Worongary,Queensland,Drama
"Big Sleep, The ",1946,Atlantida,Guatemala,Crime
Heathers ,1989,El Escorial,Madrid,Comedy
Somewhere in Time ,1980,Morrison                    ,CO,Drama
Ben-Hur ,1959,Augusta                     ,GA,Action
This Is Spinal Tap ,1984,Avalon,New South Wales,Comedy
Koyaanisqatsi ,a.k.a. Koyaanisqatsi: Life Out of Balance,Sydney,New South Wales,Documentary
Some Kind of Wonderful ,1987,Lahti,Etela-Suomen Laani,Drama
Indiana Jones and the Last Crusade ,1989,Inner City,Vienna,Action
Being There ,1979,Baden,Aargau,Comedy
Gandhi ,1982,Huddersfield,England,Drama
"Unbearable Lightness of Being, The ",1988,Belfast,Northern Ireland,Drama
"Room with a View, A ",1986,Black River,Black River,Drama
Real Genius ,1985,Skaneateles                 ,NY,Comedy
Pink Floyd: The Wall ,1982,Haverhill,England,Drama
"Killing Fields, The ",1984,Madison                     ,WI,Drama
